ID;Name;Category;Description;Price;Image URLs;Subcategory
1;Crocs Balerinos Classic Animal Ballet 212478 Ruda;Moterims;;49,95;https://img.eobuwie.cloud/product(0/4/d/8/04d8fef3ed17b6f9cd1b05d873d0b82dd108edec_20_0000306005525_KT.jpg,jpg)/balerinos-crocs-classic-animal-ballet-212478-ruda-0000306005525.jpg|https://img.eobuwie.cloud/product(5/7/8/f/578fbd4f6d41d56748d8fdb04667d319c54b75d0_22_0000306005525_KT.jpg,jpg)/balerinos-crocs-classic-animal-ballet-212478-ruda-0000306005525.jpg|https://img.eobuwie.cloud/product(2/9/f/d/29fdaa7449a0c15c89759fe1db4e3515f3c1648a_23_0000306005525_KT.jpg,jpg)/balerinos-crocs-classic-animal-ballet-212478-ruda-0000306005525.jpg|https://img.eobuwie.cloud/product(9/9/c/1/99c1812cb1f3a71d8c49639c4d177dada843b8cc_24_0000306005525_KT.jpg,jpg)/balerinos-crocs-classic-animal-ballet-212478-ruda-0000306005525.jpg|https://img.eobuwie.cloud/product(8/a/7/e/8a7e2d342519753a07db2471e81052c6e09fbd9a_25_0000306005525_KT.jpg,jpg)/balerinos-crocs-classic-animal-ballet-212478-ruda-0000306005525.jpg|https://img.eobuwie.cloud/product(7/1/f/3/71f31a9bc3e5e08b9d9f9258c1079f5edb687b8b_26_0000306005525_KT.jpg,jpg)/balerinos-crocs-classic-animal-ballet-212478-ruda-0000306005525.jpg|https://img.eobuwie.cloud/product(f/3/d/f/f3dfddc580ba28234e1b6bc99b3e1456cb00de7d_27_0000306005525_KT.jpg,jpg)/balerinos-crocs-classic-animal-ballet-212478-ruda-0000306005525.jpg;Balerinos
2;Vans Kedai Knu Skool VN0009QC6BT1 Juoda;Moterims;Vans Knu Skool – tai puikūs sportbačiai, pagaminti iš natūralios odos, užtikrinantys patogumą ir stilių. Dėl plokščio pado ir apvalaus priekio jie garantuoja stabilumą ir dėvėjimo komfortą. Klasikinis raištelis leidžia idealiai pritaikyti batą. Aukštos kokybės medžiagos vidpadis suteikia papildomą komfortą, o būdingas guminis išorinis padas užtikrina sukibimą. Idealiai tinka kasdieniam dėvėjimui, dera prie daugybės aprangos derinių. Nepraleisk progos ir pridėk juos prie savo kolekcijos jau dabar. Skaityti daugiau;79,95;https://img.eobuwie.cloud/product(c/c/8/9/cc892d65ca07c8ea1ca3385e102699214e3702fa_03_0196573344303_is.jpg,jpg)/kedai-vans-knu-skool-vn0009qc6bt1-black-true-white-0000303100704.jpg|https://img.eobuwie.cloud/product(c/c/8/9/cc892d65ca07c8ea1ca3385e102699214e3702fa_03_0196573344303_is.jpg,jpg)/kedai-vans-knu-skool-vn0009qc6bt1-black-true-white-0000303100704.jpg|https://img.eobuwie.cloud/product(8/7/0/c/870c3a08b91059d76f1d4d4db4349969f60ab376_02_0196573344303_is.jpg,jpg)/kedai-vans-knu-skool-vn0009qc6bt1-black-true-white-0000303100704.jpg|https://img.eobuwie.cloud/product(a/d/1/a/ad1a1fb6502e0609e9c275bc8fcb2483bbb9be6c_04_0196573344303_is.jpg,jpg)/kedai-vans-knu-skool-vn0009qc6bt1-black-true-white-0000303100704.jpg|https://img.eobuwie.cloud/product(1/c/b/5/1cb5b921dbbd197a71c6c2adb16b43bfd29ccddf_05_0196573344303_is.jpg,jpg)/kedai-vans-knu-skool-vn0009qc6bt1-black-true-white-0000303100704.jpg|https://img.eobuwie.cloud/product(f/4/2/d/f42dc8478b97f6d54619a28bc55d6d180c734df6_06_0196573344303_is.jpg,jpg)/kedai-vans-knu-skool-vn0009qc6bt1-black-true-white-0000303100704.jpg|https://img.eobuwie.cloud/product(d/c/6/4/dc64e63865735e0af053fd048b9458a18620860b_30_0196573344303_is.jpg,jpg)/kedai-vans-knu-skool-vn0009qc6bt1-black-true-white-0000303100704.jpg;Kedai
3;Reebok Bėgimo batai EO-FUEL FLEX RUN 100244527 W Vyšninė;Moterims;;69,99;https://img.eobuwie.cloud/product(3/9/d/8/39d8e828fdf527fdb03d10e9b1976f780acfd64e_20_5906751501702.jpg,jpg)/begimo-batai-reebok-eo-fuel-flex-run-100244527-w-vysnine-5906751501702.jpg|https://img.eobuwie.cloud/product(f/1/1/e/f11e4cdbbff016a598dae3e2220b1c24b089cf91_21_5906751501702_RP.jpg,jpg)/begimo-batai-reebok-eo-fuel-flex-run-100244527-w-vysnine-5906751501702.jpg|https://img.eobuwie.cloud/product(f/2/2/b/f22b0166f708263ec85e20dc9bdf62750a8c2121_22_5906751501702.jpg,jpg)/begimo-batai-reebok-eo-fuel-flex-run-100244527-w-vysnine-5906751501702.jpg|https://img.eobuwie.cloud/product(7/0/c/5/70c5293c4df6c32c68ccb2e9ef2507d713283ec4_23_5906751501702.jpg,jpg)/begimo-batai-reebok-eo-fuel-flex-run-100244527-w-vysnine-5906751501702.jpg|https://img.eobuwie.cloud/product(6/2/d/5/62d5ba411f1f623343df1b2adad68577460a77cb_24_5906751501702.jpg,jpg)/begimo-batai-reebok-eo-fuel-flex-run-100244527-w-vysnine-5906751501702.jpg|https://img.eobuwie.cloud/product(f/7/2/c/f72cd91dbed6b7afdc9e315d13ba592ba0cb0f9b_25_5906751501702.jpg,jpg)/begimo-batai-reebok-eo-fuel-flex-run-100244527-w-vysnine-5906751501702.jpg|https://img.eobuwie.cloud/product(8/1/b/f/81bf10b3f3d83bd39365945e0fbd8275aa8b498e_26_5906751501702.jpg,jpg)/begimo-batai-reebok-eo-fuel-flex-run-100244527-w-vysnine-5906751501702.jpg|https://img.eobuwie.cloud/product(2/2/a/3/22a34abe06099a388fe1a1a8594080a6aa9f1cf8_27_5906751501702.jpg,jpg)/begimo-batai-reebok-eo-fuel-flex-run-100244527-w-vysnine-5906751501702.jpg;Bėgimo batai
4;adidas Bėgimo batai Duramo Sl 2 JQ0604 Pilka;Moterims;Pradėk kiekvieną bėgimą visiškai patogiai su adidas bėgimo bateliais! Pagaminti iš lengvos tekstilinės medžiagos, jie užtikrina puikų orą praleidžiantį efektą ir komfortą net intensyvaus krūvio metu. Lightmotion technologija pasirūpina dinamine amortizacija, dėl kurios kiekvienas žingsnis yra lengvas ir tamprus, o Ortholite vidpadis išlaiko gaivumą ir suteikia atramą viso treniruotės metu. Patvari adiWEAR pado dalis garantuoja puikų sukibimą ir atsparumą dilimui, todėl šie bateliai yra idealus pasirinkimas bėgimui asfaltu. Rinkis patikimumą ir mėgaukis kiekvienu kilometru! Skaityti daugiau;57,95;https://img.eobuwie.cloud/product(4/0/6/c/406cefd5ec6717242e6e85016df991ac81358b5e_20_4068804870447.jpg,jpg)/begimo-batai-adidas-duramo-sl-2-jq0604-pilka-0000305635990.jpg|https://img.eobuwie.cloud/product(2/5/1/3/2513a58236f4221c06f5b226b703fa3c08772867_22_4068804870447.jpg,jpg)/begimo-batai-adidas-duramo-sl-2-jq0604-pilka-0000305635990.jpg|https://img.eobuwie.cloud/product(9/1/6/4/91642356177e475cf52a240665935e252d1312dd_23_4068804870447.jpg,jpg)/begimo-batai-adidas-duramo-sl-2-jq0604-pilka-0000305635990.jpg|https://img.eobuwie.cloud/product(6/4/5/0/64501ba61b14541a9f1a3c13d31c7986e1113de3_24_4068804870447.jpg,jpg)/begimo-batai-adidas-duramo-sl-2-jq0604-pilka-0000305635990.jpg|https://img.eobuwie.cloud/product(1/9/d/f/19df6f4c9f35471113b977ae660b31fb733cbb6d_25_4068804870447.jpg,jpg)/begimo-batai-adidas-duramo-sl-2-jq0604-pilka-0000305635990.jpg|https://img.eobuwie.cloud/product(5/b/2/6/5b269a1cf4e2badbca386eaa54a8ec9315ca56a5_26_4068804870447.jpg,jpg)/begimo-batai-adidas-duramo-sl-2-jq0604-pilka-0000305635990.jpg;Bėgimo batai
5;adidas Laisvalaikio batai Vl Court Bold J KK4502 Ruda;Moterims;Adidas sportbačiai – tai puikus pasiūlymas stiliaus ir patogumo mėgėjams. Pagaminti iš aukštos kokybės zomšos, jie žavi ne tik dizainu, bet ir patvarumu. Platforma suteikia modernumo ir užtikrina komfortą kasdien nešiojant. Tai batai, kurie puikiai papildys tavo aprangą, garantuodami patogumą ir madingą išvaizdą. Pasirink adidas sportbačius ir jauskis stilingai kiekvieną dieną! Skaityti daugiau;64,95;https://img.eobuwie.cloud/product(c/a/3/e/ca3e63eaea6ea8ae96d24a3d0c491495efa6d786_20_4068815532082_PH.jpg,jpg)/laisvalaikio-batai-adidas-vl-court-bold-j-kk4502-ruda-0000305633491.jpg|https://img.eobuwie.cloud/product(c/9/0/b/c90b06c33264a8b9f224681093aa858c26d42ca9_21_4068815532044_ed.jpg,jpg)/laisvalaikio-batai-adidas-vl-court-bold-j-kk4502-ruda-0000305633491.jpg|https://img.eobuwie.cloud/product(4/b/9/c/4b9c7daa7fdbdcfcc3c6144c79a67f724bf1294e_22_4068815532082_PH.jpg,jpg)/laisvalaikio-batai-adidas-vl-court-bold-j-kk4502-ruda-0000305633491.jpg|https://img.eobuwie.cloud/product(6/c/5/2/6c527719d86fc8ee9d8965a5e732a5524807d907_23_4068815532082_PH.jpg,jpg)/laisvalaikio-batai-adidas-vl-court-bold-j-kk4502-ruda-0000305633491.jpg|https://img.eobuwie.cloud/product(b/4/7/8/b4784cd6cb2a9d507e12b90707c6f1617f2ab23d_24_4068815532082_PH.jpg,jpg)/laisvalaikio-batai-adidas-vl-court-bold-j-kk4502-ruda-0000305633491.jpg|https://img.eobuwie.cloud/product(3/1/2/7/312714d1642ecb6197c74b129763a92bed1d2261_25_4068815532082_PH.jpg,jpg)/laisvalaikio-batai-adidas-vl-court-bold-j-kk4502-ruda-0000305633491.jpg|https://img.eobuwie.cloud/product(9/4/d/a/94da2c2281f96868ec181168565088c5e456a48c_26_4068815532082_PH.jpg,jpg)/laisvalaikio-batai-adidas-vl-court-bold-j-kk4502-ruda-0000305633491.jpg;Laisvalaikio batai
6;Dr. Martens Pusbačiai 1461 Ambassador DM31994001 Juoda;Moterims;Atrask begalinę eleganciją su juodais pusbačiais nuo Dr. Martens! Pagaminti iš aukščiausios kokybės natūralios lygios odos, šie batai sujungia klasiką su šiuolaikiniu dizainu, idealiai tinkantys tiek vyrams, tiek moterims. Raišteliai leidžia puikiai pritaikyti batus prie pėdos, užtikrinant komfortą visą dieną. Stilingi ir universalūs, šie unisex pusbačiai yra puikus pasirinkimas kiekvienai progai. Pasirink Dr. Martens ir mėgaukis išskirtiniu komfortu bei patikimu stiliumi, kuris niekada neapvilia. Skaityti daugiau;160,95;https://img.eobuwie.cloud/product(9/6/d/0/96d0775820a6a489c182dc23a200732b94315beb_20_0190665663402.jpg,jpg)/pusbaciai-dr-martens-1461-ambassador-dm31994001-juoda-0000305316158.jpg|https://img.eobuwie.cloud/product(0/f/8/2/0f824df0d647483b1ea3e51896535006c9e6b99a_22_0190665663402.jpg,jpg)/pusbaciai-dr-martens-1461-ambassador-dm31994001-juoda-0000305316158.jpg|https://img.eobuwie.cloud/product(0/f/8/2/0f824df0d647483b1ea3e51896535006c9e6b99a_22_0190665663402.jpg,jpg)/pusbaciai-dr-martens-1461-ambassador-dm31994001-juoda-0000305316158.jpg|https://img.eobuwie.cloud/product(2/a/0/6/2a06eddb88ea697ff6a6dcc9ac9467efc7edc6a8_23_0190665663402.jpg,jpg)/pusbaciai-dr-martens-1461-ambassador-dm31994001-juoda-0000305316158.jpg|https://img.eobuwie.cloud/product(2/4/9/a/249aabd47c07b2216925a887d318b4ebae1488c0_24_0190665663402.jpg,jpg)/pusbaciai-dr-martens-1461-ambassador-dm31994001-juoda-0000305316158.jpg|https://img.eobuwie.cloud/product(1/8/1/d/181d9fc2ca702abafc9bc8b0309afef060800f3b_25_0190665663402.jpg,jpg)/pusbaciai-dr-martens-1461-ambassador-dm31994001-juoda-0000305316158.jpg|https://img.eobuwie.cloud/product(a/4/d/9/a4d97f79d05e4a85e9e49cd0fb374a1b05596867_26_0190665663402.jpg,jpg)/pusbaciai-dr-martens-1461-ambassador-dm31994001-juoda-0000305316158.jpg;Pusbačiai
8;Dr. Martens Loaferai 26957001 Juoda;Moterims;;236;https://img.eobuwie.cloud/product(a/3/b/3/a3b3c69fc5c2869c8a723eda7193ac5954e76fca_03_0190665420210.jpg,jpg)/loaferai-dr-martens-26957001-juoda-0000303781590.jpg|https://img.eobuwie.cloud/product(a/3/b/3/a3b3c69fc5c2869c8a723eda7193ac5954e76fca_03_0190665420210.jpg,jpg)/loaferai-dr-martens-26957001-juoda-0000303781590.jpg|https://img.eobuwie.cloud/product(7/6/e/1/76e1f2309d3619fe49f67b38fd67c873d52037a3_02_0190665420210.jpg,jpg)/loaferai-dr-martens-26957001-juoda-0000303781590.jpg|https://img.eobuwie.cloud/product(8/7/2/4/8724f330099c4549b63875ce2f821441622cee77_04_0190665420210.jpg,jpg)/loaferai-dr-martens-26957001-juoda-0000303781590.jpg|https://img.eobuwie.cloud/product(1/d/5/4/1d54e4b1a1842f2358d00c27e89d1d680a88ad7e_05_0190665420210.jpg,jpg)/loaferai-dr-martens-26957001-juoda-0000303781590.jpg|https://img.eobuwie.cloud/product(5/c/6/5/5c658d46c03e3f63a569d33ae35a2559dd2def9e_06_0190665420210.jpg,jpg)/loaferai-dr-martens-26957001-juoda-0000303781590.jpg|https://img.eobuwie.cloud/product(8/5/7/9/85794613cd2782094f6890e5dc03a95892cdd1cc_15_0190665420210.jpg,jpg)/loaferai-dr-martens-26957001-juoda-0000303781590.jpg|https://img.eobuwie.cloud/product(8/8/8/7/8887ee4b3772be627e7c1fc2f04b5429f4cda44e_21_0190665420180_ZZ.jpg,jpg)/loaferai-dr-martens-26957001-juoda-0000303781590.jpg;Loaferai
9;Dr. Martens Loaferai Penton 30980001 Juoda;Moterims;;129,95;https://img.eobuwie.cloud/product(2/8/5/9/2859ac2d5b2da0465d1a4acc5822f84932e87937_03_0190665570410_MJ.jpg,jpg)/loaferai-dr-martens-penton-30980001-juoda-0000303104627.jpg|https://img.eobuwie.cloud/product(2/8/5/9/2859ac2d5b2da0465d1a4acc5822f84932e87937_03_0190665570410_MJ.jpg,jpg)/loaferai-dr-martens-penton-30980001-juoda-0000303104627.jpg|https://img.eobuwie.cloud/product(0/e/b/9/0eb99a87cdb695cf1977b760eecdfedaf541b0c8_02_0190665570410_MJ.jpg,jpg)/loaferai-dr-martens-penton-30980001-juoda-0000303104627.jpg|https://img.eobuwie.cloud/product(b/9/1/4/b91411954ef9ae0b84dc9b61e01033929e769bff_04_0190665570410_MJ.jpg,jpg)/loaferai-dr-martens-penton-30980001-juoda-0000303104627.jpg|https://img.eobuwie.cloud/product(b/1/c/7/b1c78aba336d04ea5e525ec3ccf06dd4ea1b7705_05_0190665570410_MJ.jpg,jpg)/loaferai-dr-martens-penton-30980001-juoda-0000303104627.jpg|https://img.eobuwie.cloud/product(4/3/a/7/43a7d14977746d7a7c02219c823ff912b9430db4_06_0190665570410_MJ.jpg,jpg)/loaferai-dr-martens-penton-30980001-juoda-0000303104627.jpg|https://img.eobuwie.cloud/product(f/6/2/0/f6209369f6c1b94730081d60fdf5a39cfbc6da78_15_0190665570410_MJ.jpg,jpg)/loaferai-dr-martens-penton-30980001-juoda-0000303104627.jpg;Loaferai
10;Crocs Balerinos Classic Ballet 211994 Juoda;Moterims;;42,95;https://img.eobuwie.cloud/product(a/d/7/4/ad74c0583f729d2a3d7d38cd583f6460a072f32b_20_0000306005341_PLJ.jpg,jpg)/balerinos-crocs-classic-ballet-211994-juoda-0000306005341.jpg|https://img.eobuwie.cloud/product(c/f/f/2/cff20e415efb6fc3a651281d654d2a3befdeddfa_22_0000306005341_PLJ.jpg,jpg)/balerinos-crocs-classic-ballet-211994-juoda-0000306005341.jpg|https://img.eobuwie.cloud/product(e/c/9/8/ec981662cfbbb8e6e585f15a04c8d2be7ca4f298_23_0000306005341_PLJ.jpg,jpg)/balerinos-crocs-classic-ballet-211994-juoda-0000306005341.jpg|https://img.eobuwie.cloud/product(1/9/9/b/199b1d1204abc41bb4b26a36735519f6e2ab2e9d_24_0000306005341_PLJ.jpg,jpg)/balerinos-crocs-classic-ballet-211994-juoda-0000306005341.jpg|https://img.eobuwie.cloud/product(b/9/1/6/b916c433fef4ec4bdf6cb2769acee1bec7ce7c85_25_0000306005341_PLJ.jpg,jpg)/balerinos-crocs-classic-ballet-211994-juoda-0000306005341.jpg|https://img.eobuwie.cloud/product(8/a/a/a/8aaac8d2beece7455c6a71024350942c4f6b1a01_26_0000306005341_PLJ.jpg,jpg)/balerinos-crocs-classic-ballet-211994-juoda-0000306005341.jpg|https://img.eobuwie.cloud/product(1/a/4/4/1a444b9cf8b6b86712c47680f5c47c7528f97b87_27_0000306005341_PLJ.jpg,jpg)/balerinos-crocs-classic-ballet-211994-juoda-0000306005341.jpg;Balerinos
13;Nine West Aukštakulniai CEO-CD23029-18 Juoda;Moterims;;57,99;https://img.eobuwie.cloud/product(e/7/a/a/e7aa9de90fa16cdb4df01e0dcab9f3632bb10199_20_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(d/f/d/0/dfd07a71ad279016341e694d90868580fb0a106f_21_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(d/f/d/0/dfd07a71ad279016341e694d90868580fb0a106f_21_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(f/e/8/5/fe855ede1ebe288ca7dabb416debb1e93751a375_22_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(9/0/0/b/900b74463fbf6aab3745684c8b003288a632ce0a_23_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(c/f/0/4/cf04118f18c1deecd6d5f6f381411b715e855a96_24_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(d/0/b/9/d0b990ccdf6d5dc1dbb55cc24acf40622c04ca4f_25_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(5/8/3/7/58375b319da711952d010252e633badd6e18fc01_26_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(7/6/d/d/76dd932e6618e4a7626397a8274f690acda955bf_27_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg|https://img.eobuwie.cloud/product(0/4/d/e/04de40eb0df7a4808d5ab391661d6b4ba33d2748_28_5906751908129.jpg,jpg)/aukstakulniai-nine-west-ceo-cd23029-18-juoda-5906751908129.jpg;Aukštakulniai
